"H1","Label","Area","Perim."
"1","1:NI-ND-00","29570","658.181"
"2","1:NI-ND-05","29566","665.495"
"3","1:NI-ND-10","29605","662.909"
"4","1:NI-ND-15","29638","663.252"
"5","1:NI-ND-20","29599","669.051"
"6","1:NI-ND-25","29592","672.122"
"7","1:NI-ND-30","29631","662.767"
"8","1:NI-ND-35","29617","656.382"
"9","1:NI-ND-40","29632","663.009"
"10","1:NI-ND-45","29639","669.779"
"11","1:NI-ND-50","29642","664.566"
"12","1:NI-ND-55","29670","668.465"
"13","1:NI-ND-60","29690","665.980"
"1","10:NI-ND-00","39495","775.661"
"2","10:NI-ND-05","39557","772.205"
"3","10:NI-ND-10","39667","771.134"
"4","10:NI-ND-15","39695","771.963"
"5","10:NI-ND-20","39725","784.833"
"6","10:NI-ND-25","39769","772.690"
"7","10:NI-ND-30","39803","773.720"
"8","10:NI-ND-35","39854","766.406"
"9","10:NI-ND-40","39883","779.176"
"10","10:NI-ND-45","39879","775.619"
"11","10:NI-ND-50","39898","781.034"
"12","10:NI-ND-55","39942","777.176"
"1","100:M1ex-ND-00","36467","755.519"
"2","100:M1ex-ND-05","37051","755.235"
"3","100:M1ex-ND-10","37683","782.690"
"4","100:M1ex-ND-15","38369","818.690"
"5","100:M1ex-ND-20","38927","852.389"
"6","100:M1ex-ND-25","39283","882.916"
"7","100:M1ex-ND-30","39408","881.703"
"8","100:M1ex-ND-35","39458","892.715"
"9","100:M1ex-ND-40","39563","887.360"
"10","100:M1ex-ND-45","39629","881.703"
"11","100:M1ex-ND-50","39695","882.874"
"12","100:M1ex-ND-55","39789","890.288"
"13","100:M1ex-ND-60","39811","900.472"
"1","101:M1ex-ND-00","34078","748.406"
"2","101:M1ex-ND-05","34421","757.720"
"3","101:M1ex-ND-10","34845","765.820"
"4","101:M1ex-ND-15","35316","782.749"
"5","101:M1ex-ND-20","35385","848.833"
"6","101:M1ex-ND-25","35492","860.046"
"7","101:M1ex-ND-30","35644","871.561"
"8","101:M1ex-ND-35","35809","879.803"
"9","101:M1ex-ND-40","36087","811.762"
"10","101:M1ex-ND-45","36089","824.389"
"11","101:M1ex-ND-50","36217","811.276"
"12","101:M1ex-ND-55","36193","819.318"
"1","102:M1ex-ND-00","31639","675.696"
"2","102:M1ex-ND-05","31574","676.524"
"3","102:M1ex-ND-10","31614","678.423"
"4","102:M1ex-ND-15","31669","681.009"
"5","102:M1ex-ND-20","31683","676.039"
"6","102:M1ex-ND-25","31710","680.666"
"7","102:M1ex-ND-30","31764","681.009"
"8","102:M1ex-ND-35","31789","674.281"
"9","102:M1ex-ND-40","31812","678.281"
"10","102:M1ex-ND-45","31849","687.737"
"11","102:M1ex-ND-50","31891","684.808"
"12","102:M1ex-ND-55","31902","684.909"
"1","103:M1ex-ND-00","30275","668.281"
"2","103:M1ex-ND-05","30321","683.294"
"3","103:M1ex-ND-10","30393","676.080"
"4","103:M1ex-ND-15","30448","681.495"
"5","103:M1ex-ND-20","30475","678.909"
"6","103:M1ex-ND-25","30516","675.495"
"7","103:M1ex-ND-30","30542","674.080"
"8","103:M1ex-ND-35","30539","677.151"
"9","103:M1ex-ND-40","30555","672.423"
"10","103:M1ex-ND-45","30566","675.737"
"11","103:M1ex-ND-50","30574","679.252"
"12","103:M1ex-ND-55","30574","679.151"
"1","104:M1ex-ND-00","36652","739.092"
"2","104:M1ex-ND-05","36630","732.950"
"3","104:M1ex-ND-10","36629","736.607"
"4","104:M1ex-ND-15","36616","728.465"
"5","104:M1ex-ND-20","36612","729.637"
"6","104:M1ex-ND-25","36620","740.850"
"7","104:M1ex-ND-30","36633","742.548"
"8","104:M1ex-ND-35","36596","730.950"
"9","104:M1ex-ND-40","36599","730.950"
"10","104:M1ex-ND-45","36598","734.021"
"11","104:M1ex-ND-50","36588","734.365"
"12","104:M1ex-ND-55","36618","735.193"
"13","104:M1ex-ND-60","36607","740.063"
"1","105:M1ex-ND-00","36634","742.891"
"2","105:M1ex-ND-05","36617","730.122"
"1","106:M1ex-ND-00","30934","695.495"
"2","106:M1ex-ND-05","30749","676.080"
"3","106:M1ex-ND-10","30729","662.624"
"4","106:M1ex-ND-15","30774","664.867"
"5","106:M1ex-ND-20","30775","670.423"
"6","106:M1ex-ND-25","30805","672.423"
"7","106:M1ex-ND-30","30791","672.666"
"8","106:M1ex-ND-35","30809","673.495"
"9","106:M1ex-ND-40","30841","666.767"
"10","106:M1ex-ND-45","30809","667.110"
"11","106:M1ex-ND-50","30824","668.524"
"12","106:M1ex-ND-55","30828","668.423"
"13","106:M1ex-ND-60","30819","675.394"
"1","107:M1ex-ND-00","28296","647.737"
"2","107:M1ex-ND-05","28275","655.394"
"3","107:M1ex-ND-10","28251","659.193"
"4","107:M1ex-ND-15","28293","650.222"
"5","107:M1ex-ND-20","28243","648.080"
"6","107:M1ex-ND-25","28199","646.909"
"7","107:M1ex-ND-30","28213","648.808"
"8","107:M1ex-ND-35","28215","651.051"
"9","107:M1ex-ND-40","28277","648.566"
"10","107:M1ex-ND-45","28274","651.737"
"11","107:M1ex-ND-50","28282","643.595"
"12","107:M1ex-ND-55","28341","648.080"
"13","107:M1ex-ND-60","28364","642.181"
"1","108:M1ex-ND-00","37955","750.749"
"2","108:M1ex-ND-05","37892","747.678"
"3","108:M1ex-ND-10","37816","752.164"
"4","108:M1ex-ND-15","37781","754.791"
"5","108:M1ex-ND-20","37752","744.850"
"6","108:M1ex-ND-25","37708","749.477"
"7","108:M1ex-ND-30","37695","749.235"
"8","108:M1ex-ND-35","37670","747.678"
"9","108:M1ex-ND-40","37645","750.406"
"10","108:M1ex-ND-45","37612","744.264"
"11","108:M1ex-ND-50","37570","745.436"
"12","108:M1ex-ND-55","37565","752.649"
"13","108:M1ex-ND-60","37497","746.992"
"1","109:M1ex-ND-00","32918","695.595"
"2","109:M1ex-ND-05","32464","698.708"
"3","109:M1ex-ND-10","31928","690.080"
"4","109:M1ex-ND-15","31687","684.666"
"5","109:M1ex-ND-30","36632","730.365"
"6","109:M1ex-ND-35","36676","730.708"
"7","109:M1ex-ND-40","36642","726.465"
"8","109:M1ex-ND-45","36640","727.879"
"9","109:M1ex-ND-50","36647","734.607"
"10","109:M1ex-ND-55","36630","735.092"
"11","109:M1ex-ND-60","36650","730.122"
"1","11:NI-ND-00","39560","754.365"
"2","11:NI-ND-05","39632","765.720"
"3","11:NI-ND-10","39602","763.720"
"4","11:NI-ND-15","39616","757.335"
"5","11:NI-ND-20","39673","750.465"
"6","11:NI-ND-25","39672","761.678"
"7","11:NI-ND-30","39656","757.092"
"8","11:NI-ND-35","39655","759.092"
"9","11:NI-ND-40","39666","757.193"
"10","11:NI-ND-45","39666","755.536"
"11","11:NI-ND-50","39686","755.193"
"12","11:NI-ND-55","39697","758.749"
"1","110:M1ex-ND-00","36737","741.862"
"2","110:M1ex-ND-05","36755","736.649"
"3","110:M1ex-ND-10","36720","738.063"
"4","110:M1ex-ND-15","36737","739.134"
"5","110:M1ex-ND-20","36724","739.377"
"6","110:M1ex-ND-25","36689","749.318"
"7","110:M1ex-ND-30","36638","739.134"
"8","110:M1ex-ND-35","36664","735.477"
"9","110:M1ex-ND-40","36652","737.720"
"10","110:M1ex-ND-45","36626","737.963"
"11","110:M1ex-ND-50","36640","738.063"
"12","110:M1ex-ND-55","36669","739.134"
"1","111:M1ex-ND-00","35107","729.092"
"2","111:M1ex-ND-05","35070","729.335"
"3","111:M1ex-ND-10","35036","726.950"
"4","111:M1ex-ND-15","35032","722.365"
"5","111:M1ex-ND-20","35062","725.779"
"6","111:M1ex-ND-25","35042","727.294"
"7","111:M1ex-ND-30","35018","728.749"
"8","111:M1ex-ND-35","35048","740.649"
"9","111:M1ex-ND-40","35042","729.235"
"10","111:M1ex-ND-45","35042","722.365"
"11","111:M1ex-ND-50","35031","725.051"
"12","111:M1ex-ND-55","34977","725.436"
"13","111:M1ex-ND-60","35003","733.092"
"1","112:M1ex-ND-00","33886","706.365"
"2","112:M1ex-ND-05","33911","712.749"
"3","112:M1ex-ND-10","33892","709.921"
"4","112:M1ex-ND-15","33859","711.235"
"5","112:M1ex-ND-20","33867","712.507"
"6","112:M1ex-ND-25","33834","722.448"
